index	scientific	common	prob	iberia	world
6253	Turdus merula	Eurasian Blackbird	0.9986	20139	20139
1491	Columba palumbus	Common Wood-Pigeon	0.9981	11181	11181
4255	Passer simplex	Desert Sparrow	0.9969	0	462
1747	Cyanistes teneriffae	African Blue Tit	0.9968	795	795
3105	Larus michahellis	Yellow-legged Gull	0.9961	16099	16099
2802	Hirundo rustica	Barn Swallow	0.9958	7241	7241
4245	Passer domesticus	House Sparrow	0.9952	22311	22311
5134	Pycnonotus barbatus	Common Bulbul	0.9947	56	10893
4541	Phylloscopus collybita	Common Chiffchaff	0.9939	8641	8641
2176	Erithacus rubecula	European Robin	0.9932	14431	14431
2370	Fringilla coelebs	Common Chaffinch	0.9930	13651	13651
1489	Columba livia	Rock Pigeon	0.9910	12618	12618
4237	Parus major	Great Tit	0.9891	10466	10466
5747	Streptopelia decaocto	Eurasian Collared-Dove	0.9881	11419	11419
4638	Picus vaillantii	Levaillant's Woodpecker	0.9861	2	264
3666	Motacilla alba	White Wagtail	0.9860	11907	11907
1579	Corvus corone	Carrion Crow	0.9856	4203	4203
5500	Serinus canaria	Island Canary	0.9850	2567	2567
5782	Sturnus unicolor	Spotless Starling	0.9833	9582	9582
423	Apus apus	Common Swift	0.9742	5246	5246
2299	Falco tinnunculus	Eurasian Kestrel	0.9691	9863	9863
4482	Phoenicurus ochruros	Black Redstart	0.9626	15043	15043
1736	Curruca melanocephala	Sardinian Warbler	0.9604	6567	6567
2111	Emberiza sahari	House Bunting	0.9586	27	1907
5801	Sylvia atricapilla	Eurasian Blackcap	0.9516	6675	6675
1853	Delichon urbicum	Common House-Martin	0.9476	5040	5040
994	Carduelis carduelis	European Goldfinch	0.9476	24499	24499
5504	Serinus serinus	European Serin	0.9473	15739	15739
163	Alectoris barbara	Barbary Partridge	0.9465	384	1028
5753	Streptopelia senegalensis	Laughing Dove	0.9464	139	22249
1215	Chloris chloris	European Greenfinch	0.9235	7617	7617
5045	Pterocles senegallus	Spotted Sandgrouse	0.9234	0	317
429	Apus unicolor	Plain Swift	0.9102	312	317
5783	Sturnus vulgaris	European Starling	0.9068	2214	2214
267	Anas platyrhynchos	Mallard	0.9056	19589	19589
2376	Fulica atra	Eurasian Coot	0.9032	6411	6411
337	Anthus berthelotii	Berthelot's Pipit	0.9028	1943	1943
4603	Pica pica	Eurasian Magpie	0.9005	27840	27840
4248	Passer hispaniolensis	Spanish Sparrow	0.8999	2280	2280
232	Ammomanes cinctura	Bar-tailed Lark	0.8965	0	312
6186	Troglodytes troglodytes	Eurasian Wren	0.8925	1877	1877
5378	Saxicola rubicola	European Stonechat	0.8915	15003	15003
1598	Corvus ruficollis	Brown-necked Raven	0.8909	2	831
1276	Chroicocephalus ridibundus	Black-headed Gull	0.8759	9043	9043
357	Anthus pratensis	Meadow Pipit	0.8732	3496	3496
233	Ammomanes deserti	Desert Lark	0.8709	0	1007
5936	Tchagra senegalus	Black-crowned Tchagra	0.8699	1	956
468	Ardea cinerea	Gray Heron	0.8696	13207	13207
3014	Lagonosticta senegala	Red-billed Firefinch	0.8690	0	3709
1878	Dendrocopos major	Great Spotted Woodpecker	0.8663	2815	2815
3685	Muscicapa striata	Spotted Flycatcher	0.8612	3412	3412
4408	Phalacrocorax carbo	Great Cormorant	0.8606	10613	10613
4481	Phoenicurus moussieri	Moussier's Redstart	0.8569	3	1134
1745	Cyanistes caeruleus	Eurasian Blue Tit	0.8565	7146	7146
2420	Gallinula chloropus	Eurasian Moorhen	0.8540	6877	6877
3307	Luscinia megarhynchos	Common Nightingale	0.8522	1653	1653
143	Alaemon alaudipes	Greater Hoopoe-Lark	0.8496	0	608
2442	Garrulus glandarius	Eurasian Jay	0.8487	3890	3890
1105	Cercotrichas galactotes	Rufous-tailed Scrub-Robin	0.8469	126	917
751	Bucanetes githagineus	Trumpeter Finch	0.8420	358	891
3529	Merops apiaster	European Bee-eater	0.8401	3915	3915
3226	Linaria cannabina	Eurasian Linnet	0.8336	4989	4989
1577	Corvus corax	Common Raven	0.8329	3570	3570
2091	Emberiza calandra	Corn Bunting	0.8315	5694	5694
6265	Turdus philomelos	Song Thrush	0.8284	3553	3553
5867	Tachybaptus ruficollis	Little Grebe	0.8256	3954	3954
5426	Scotocerca inquieta	Scrub Warbler	0.8225	0	237
56	Acrocephalus baeticatus	African Reed Warbler	0.8221	1050	1050
5121	Ptyonoprogne fuligula	Rock Martin	0.8199	0	1474
1395	Cisticola juncidis	Zitting Cisticola	0.8174	3585	3585
4252	Passer montanus	Eurasian Tree Sparrow	0.8170	2684	2684
4587	Phylloscopus trochilus	Willow Warbler	0.8135	1836	1836
3584	Milvus migrans	Black Kite	0.8110	7031	7031
5044	Pterocles orientalis	Black-bellied Sandgrouse	0.8092	418	418
3083	Lanius senator	Woodchat Shrike	0.8084	4121	4121
4090	Oriolus oriolus	Eurasian Golden Oriole	0.8078	823	823
3671	Motacilla flava	Western Yellow Wagtail	0.8077	2696	2696
2628	Gyps fulvus	Eurasian Griffon	0.8076	13466	13466
1272	Chroicocephalus genei	Slender-billed Gull	0.8048	966	966
2047	Egretta garzetta	Little Egret	0.8041	12101	12101
5976	Thalasseus bengalensis	Lesser Crested Tern	0.8035	39	1602
3476	Melanocorypha calandra	Calandra Lark	0.8021	644	644
2933	Iduna opaca	Western Olivaceous Warbler	0.7984	109	226
750	Bubulcus ibis	Cattle Egret	0.7969	6602	6602
1315	Ciconia ciconia	White Stork	0.7964	15872	15872
5755	Streptopelia turtur	European Turtle-Dove	0.7963	1677	1677
3098	Larus fuscus	Lesser Black-backed Gull	0.7963	7834	7834
